,1_3m,2_3m,3_3m,6_3m,7_3m,8_3m,10_3m,12_3m,13_3m,14_4m,15_3m,16_4m
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Psychromonadaceae;Psychromonas;Psychromonas sp. P3-9-3,0,0,0.000403084,0,0.000108507,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;NKB5;uncultured bacterium;Other;Other,0,0,0,0.000174627,0,0,0.000225175,0,0,0,9.16E-05,0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Roseibacterium;Roseobacter sp. WM2,0,0,0,0,0,0,0,0,0.000466418,0,0,0
Bacteria;Proteobacteria;Deltaproteobacteria;GR-WP33-30;uncultured delta proteobacterium;Other;Other,0,0,0,0.000174627,0,0,0,0,0,0.000103831,0,0.000183469
Bacteria;Fibrobacteres;Fibrobacteria;Fibrobacterales;Fibrobacteraceae;uncultured;uncultured bacterium,0,0,0,0,0,0,0,0,0,0,0.000458169,0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Roseobacter;uncultured bacterium,0,0,0,0,0,0,0.000450349,0,0,0,0,0
Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bacteriovoracaceae;Peredibacter;uncultured delta proteobacterium HOC41,0,0,0,0,0,0,0.000450349,0,0,0,0,0
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Geobacillus;Geobacillus stearothermophilus,0,0,0,0,0,0,0,0.000250564,0,0.000103831,9.16E-05,0
Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Coxiellaceae;Coxiella;uncultured gamma proteobacterium,7.32E-05,0.000176243,0,0,0.000108507,0,0,8.35E-05,0,0,0,0
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingobium;Sphingobium japonicum BiD32,0,8.81E-05,5.04E-05,0,0,0,0.000225175,0,7.77E-05,0,0,0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Octadecabacter;uncultured bacterium,0,0.000440606,0,0,0,0,0,0,0,0,0,0
Bacteria;Cyanobacteria;Cyanobacteria;SubsectionI;FamilyI;marine group;Candidatus Atelocyanobacterium thalassa isolate ALOHA,0,0,0,0,0.000434028,0,0,0,0,0,0,0
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;uncultured;uncultured Flavobacteriaceae bacterium,0,0,5.04E-05,0.00026194,0,0,0,0,0,0.000103831,0,0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Defluviicoccus;unidentified marine bacterioplankton,0,0,0,0,0,0,0,0,0,0.000415326,0,0
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas;uncultured bacterium,0,0,0,0,0,0,0.000225175,0,0,0,0.000183268,0
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Erythrobacter;Erythrobacter sp. RCC 1903,0,0,0,0,0,0,0,0,0,0.000311494,0,9.17E-05
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;uncultured;uncultured bacterium,0,0,5.04E-05,0,0,0.000155388,0,0,0,0.000103831,0,9.17E-05
Bacteria;Verrucomicrobia;Opitutae;Opitutales;Opitutaceae;Opitutus;uncultured bacterium,7.32E-05,0,0,0,0,0,0,0,0,0.000311494,0,0
Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;uncultured;uncultured bacterium,0,0,0,0,0,0.000155388,0.000225175,0,0,0,0,0
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingopyxis;uncultured bacterium,0,0,0,0,0,0,0,8.35E-05,0,0.000103831,9.16E-05,9.17E-05
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Pseudoalteromonadaceae;Pseudoalteromonas;uncultured gamma proteobacterium,0,0,0,0,0,0,0,0,0,0,0.000366535,0
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Marinobacter;uncultured bacterium,0.000366247,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;T9d;uncultured Rhodospirillales bacterium;Other,0,0,0,0,0,0,0,0,7.77E-05,0.000103831,0.000183268,0
Bacteria;Proteobacteria;Deltaproteobacteria;SAR324 clade(Marine group B);uncultured bacterium;Other;Other,0,0,0.000100771,0,0,0,0,0,0.000155473,0.000103831,0,0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;GR-WP33-58;uncultured bacterium;Other,0,0,0,0.00026194,0,0,0,0,0,0,9.16E-05,0
Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;Ekhidna;uncultured bacterium,0,0,0,0,0,0,0,0,7.77E-05,0,0,0.000275204
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Tateyamaria;bacterium RCC 1888,0,0.000352485,0,0,0,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Roseobacter clade NAC11-7 lineage;uncultured alpha proteobacterium,0,0,0,0.000349253,0,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Nitrospinaceae;Nitrospina;uncultured Desulfobacterales bacterium HF0200_07G10,0,0,0,0,0,0,0,0,0.000233209,0.000103831,0,0
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Cryomorphaceae;Crocinitomix;uncultured Flavobacteriia bacterium,0,0,0,8.73E-05,0,0.000155388,0,0,0,0,9.16E-05,0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;AEGEAN-169 marine group;uncultured bacterium,0,0,0,0,0.000325521,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhodobiaceae;Parvibaculum;sediment bacterium 22-39,0,0,0,0,0,0,0,0,0,0.000311494,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis;Unknown Family;Arenicella;uncultured gamma proteobacterium,0,0,0,0,0,0,0,0,0,0.000311494,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Rhodanobacter;Rhodanobacter ginsengisoli,0,0,0,0,0,0,0,0,0,0.000311494,0,0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Marivita;uncultured bacterium,0,0,0,0,0,0,0,0,0.000310945,0,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Luminiphilus;uncultured bacterium,0,0,0,0,0,0,0.000225175,0,7.77E-05,0,0,0
Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae;Persicirhabdus;uncultured bacterium,0,0,0,0,0,7.77E-05,0.000225175,0,0,0,0,0
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingobium;Sphingobium sp. MS22,0,0,0.000302313,0,0,0,0,0,0,0,0,0
Bacteria;Verrucomicrobia;Opitutae;Puniceicoccales;Puniceicoccaceae;Pelagicoccus;uncultured bacterium,0,0,0,0,0,0,0,0,0,0.000207663,0,9.17E-05
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Rhodanobacter;Rhodanobacter sp. ECP14,0,0,0,0,0,0,0,0,0,0.000207663,9.16E-05,0
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Cryomorphaceae;Crocinitomix;uncultured bacterium,7.32E-05,0,0,0,0,0,0.000225175,0,0,0,0,0
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Ulvibacter;uncultured Ulvibacter sp.,0.000292997,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;uncultured alpha proteobacterium;Other;Other,0,0,0,0,0,0,0,0,0,0.000103831,9.16E-05,9.17E-05
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia;uncultured bacterium,0,0,0,0,0,0,0,0,7.77E-05,0.000207663,0,0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Magnetospira;uncultured alpha proteobacterium,0,0,0,0,0,7.77E-05,0,0,0,0.000207663,0,0
Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;Flexithrix;uncultured bacterium,0,0,0.000201542,0,0,7.77E-05,0,0,0,0,0,0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Octadecabacter;uncultured marine bacterium,0,0,0,0,0.000108507,7.77E-05,0,0,0,0,9.16E-05,0
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Cryomorphaceae;Crocinitomix;uncultured Crocinitomix sp.,0,0.000176243,0.000100771,0,0,0,0,0,0,0,0,0
